numero,aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,outcomedesc,minoritydesc,tooltp,buttonn
17,0.38,0.37,0.39,<0.001,0,1,1,1,2,1,2006-12,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
18,0.54,0.5,0.59,<0.001,0,2,1,1,2,1,2006-12,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
19,0.43,0.41,0.45,<0.001,0,3,1,1,2,1,2006-12,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
20,0.48,0.47,0.49,<0.001,0,4,1,1,2,1,2006-12,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
21,0.47,0.47,0.48,<0.001,0,0,2,1,2,1,2006-12,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
22,0.44,0.44,0.45,<0.001,0,1,2,1,2,1,2006-12,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
23,0.67,0.62,0.73,<0.001,0,2,2,1,2,1,2006-12,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
24,0.42,0.4,0.44,<0.001,0,3,2,1,2,1,2006-12,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
25,0.54,0.53,0.56,<0.001,0,4,2,1,2,1,2006-12,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
26,0.55,0.54,0.56,<0.001,0,0,3,1,2,1,2006-12,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
27,0.51,0.49,0.52,<0.001,0,1,3,1,2,1,2006-12,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
28,0.65,0.6,0.7,<0.001,0,2,3,1,2,1,2006-12,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
29,0.48,0.46,0.51,<0.001,0,3,3,1,2,1,2006-12,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
30,0.69,0.67,0.71,<0.001,0,4,3,1,2,1,2006-12,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
31,0.53,0.48,0.59,<0.001,0,0,1,0,3,1,Age 0-39,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
32,0.47,0.42,0.53,<0.001,0,1,1,0,3,1,Age 0-39,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
33,0.94,0.65,1.38,0.762,0.7616,2,1,0,3,1,Age 0-39,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value 0.762",O1A1M2
34,0.46,0.3,0.71,<0.001,4.00E-04,3,1,0,3,1,Age 0-39,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
35,0.72,0.61,0.84,<0.001,0,4,1,0,3,1,Age 0-39,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
36,0.52,0.47,0.58,<0.001,0,0,2,0,3,1,Age 0-39,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
37,0.46,0.41,0.52,<0.001,0,1,2,0,3,1,Age 0-39,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
38,0.93,0.64,1.36,0.727,0.7265,2,2,0,3,1,Age 0-39,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value 0.727",O1A2M2
39,0.46,0.3,0.7,<0.001,4.00E-04,3,2,0,3,1,Age 0-39,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
40,0.71,0.61,0.83,<0.001,0,4,2,0,3,1,Age 0-39,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
41,0.58,0.51,0.65,<0.001,0,0,3,0,3,1,Age 0-39,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
42,0.49,0.43,0.56,<0.001,0,1,3,0,3,1,Age 0-39,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
43,0.93,0.63,1.38,0.713,0.7135,2,3,0,3,1,Age 0-39,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value 0.713",O1A3M2
44,0.51,0.32,0.8,0.004,0.004,3,3,0,3,1,Age 0-39,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value 0.004",O1A3M3
45,0.85,0.71,1.02,0.074,0.0741,4,3,0,3,1,Age 0-39,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value 0.074",O1A3M4
46,0.47,0.46,0.48,<0.001,0,0,1,1,3,1,Age 40-64,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
47,0.42,0.41,0.44,<0.001,0,1,1,1,3,1,Age 40-64,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
48,0.73,0.66,0.81,<0.001,0,2,1,1,3,1,Age 40-64,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
49,0.42,0.38,0.46,<0.001,0,3,1,1,3,1,Age 40-64,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
50,0.58,0.56,0.61,<0.001,0,4,1,1,3,1,Age 40-64,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
51,0.47,0.45,0.48,<0.001,0,0,2,1,3,1,Age 40-64,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
52,0.42,0.41,0.43,<0.001,0,1,2,1,3,1,Age 40-64,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
53,0.72,0.65,0.8,<0.001,0,2,2,1,3,1,Age 40-64,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
54,0.42,0.38,0.46,<0.001,0,3,2,1,3,1,Age 40-64,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
55,0.58,0.56,0.61,<0.001,0,4,2,1,3,1,Age 40-64,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
56,0.56,0.54,0.57,<0.001,0,0,3,1,3,1,Age 40-64,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
57,0.5,0.48,0.51,<0.001,0,1,3,1,3,1,Age 40-64,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
58,0.72,0.65,0.8,<0.001,0,2,3,1,3,1,Age 40-64,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
59,0.47,0.42,0.52,<0.001,0,3,3,1,3,1,Age 40-64,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
60,0.74,0.71,0.77,<0.001,0,4,3,1,3,1,Age 40-64,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
61,0.48,0.47,0.49,<0.001,0,0,1,2,3,1,Age 65-79,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
62,0.43,0.42,0.44,<0.001,0,1,1,2,3,1,Age 65-79,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
63,0.71,0.65,0.77,<0.001,0,2,1,2,3,1,Age 65-79,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
64,0.43,0.41,0.46,<0.001,0,3,1,2,3,1,Age 65-79,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
65,0.58,0.56,0.59,<0.001,0,4,1,2,3,1,Age 65-79,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
66,0.47,0.46,0.48,<0.001,0,0,2,2,3,1,Age 65-79,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
67,0.42,0.41,0.43,<0.001,0,1,2,2,3,1,Age 65-79,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
68,0.69,0.63,0.75,<0.001,0,2,2,2,3,1,Age 65-79,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
69,0.43,0.4,0.45,<0.001,0,3,2,2,3,1,Age 65-79,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
70,0.57,0.55,0.59,<0.001,0,4,2,2,3,1,Age 65-79,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
71,0.55,0.54,0.56,<0.001,0,0,3,2,3,1,Age 65-79,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
72,0.49,0.48,0.5,<0.001,0,1,3,2,3,1,Age 65-79,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
73,0.65,0.59,0.71,<0.001,0,2,3,2,3,1,Age 65-79,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
74,0.46,0.43,0.49,<0.001,0,3,3,2,3,1,Age 65-79,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
75,0.71,0.69,0.74,<0.001,0,4,3,2,3,1,Age 65-79,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
76,0.47,0.46,0.49,<0.001,0,0,1,3,3,1,Age 80+,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
77,0.44,0.43,0.45,<0.001,0,1,1,3,3,1,Age 80+,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
78,0.66,0.56,0.78,<0.001,0,2,1,3,3,1,Age 80+,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
79,0.42,0.4,0.45,<0.001,0,3,1,3,3,1,Age 80+,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
80,0.57,0.55,0.59,<0.001,0,4,1,3,3,1,Age 80+,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
81,0.46,0.45,0.47,<0.001,0,0,2,3,3,1,Age 80+,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
82,0.42,0.41,0.44,<0.001,0,1,2,3,3,1,Age 80+,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
83,0.63,0.54,0.74,<0.001,0,2,2,3,3,1,Age 80+,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
84,0.42,0.39,0.44,<0.001,0,3,2,3,3,1,Age 80+,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
85,0.56,0.54,0.59,<0.001,0,4,2,3,3,1,Age 80+,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
86,0.52,0.51,0.54,<0.001,0,0,3,3,3,1,Age 80+,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
87,0.48,0.47,0.5,<0.001,0,1,3,3,3,1,Age 80+,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
88,0.59,0.5,0.69,<0.001,0,2,3,3,3,1,Age 80+,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
89,0.44,0.41,0.47,<0.001,0,3,3,3,3,1,Age 80+,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
90,0.68,0.65,0.71,<0.001,0,4,3,3,3,1,Age 80+,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
91,0.4,0.39,0.4,<0.001,0,0,1,0,4,1,Male,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
92,0.35,0.34,0.36,<0.001,0,1,1,0,4,1,Male,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
93,0.55,0.5,0.6,<0.001,0,2,1,0,4,1,Male,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
94,0.4,0.38,0.42,<0.001,0,3,1,0,4,1,Male,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
95,0.5,0.48,0.51,<0.001,0,4,1,0,4,1,Male,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
96,0.48,0.47,0.49,<0.001,0,0,2,0,4,1,Male,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
97,0.44,0.43,0.45,<0.001,0,1,2,0,4,1,Male,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
98,0.72,0.66,0.79,<0.001,0,2,2,0,4,1,Male,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
99,0.41,0.39,0.44,<0.001,0,3,2,0,4,1,Male,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
100,0.58,0.56,0.59,<0.001,0,4,2,0,4,1,Male,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
101,0.55,0.54,0.56,<0.001,0,0,3,0,4,1,Male,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
102,0.5,0.49,0.51,<0.001,0,1,3,0,4,1,Male,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
103,0.68,0.62,0.75,<0.001,0,2,3,0,4,1,Male,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
104,0.44,0.41,0.47,<0.001,0,3,3,0,4,1,Male,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
105,0.71,0.69,0.74,<0.001,0,4,3,0,4,1,Male,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
106,0.41,0.4,0.41,<0.001,0,0,1,1,4,1,Female,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
107,0.36,0.35,0.37,<0.001,0,1,1,1,4,1,Female,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
108,0.56,0.51,0.6,<0.001,0,2,1,1,4,1,Female,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
109,0.43,0.41,0.46,<0.001,0,3,1,1,4,1,Female,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
110,0.51,0.5,0.53,<0.001,0,4,1,1,4,1,Female,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
111,0.46,0.45,0.46,<0.001,0,0,2,1,4,1,Female,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
112,0.41,0.4,0.42,<0.001,0,1,2,1,4,1,Female,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
113,0.68,0.63,0.73,<0.001,0,2,2,1,4,1,Female,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
114,0.43,0.41,0.45,<0.001,0,3,2,1,4,1,Female,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
115,0.57,0.55,0.59,<0.001,0,4,2,1,4,1,Female,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
116,0.53,0.52,0.54,<0.001,0,0,3,1,4,1,Female,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
117,0.47,0.46,0.49,<0.001,0,1,3,1,4,1,Female,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
118,0.64,0.59,0.7,<0.001,0,2,3,1,4,1,Female,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
119,0.46,0.44,0.49,<0.001,0,3,3,1,4,1,Female,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
120,0.7,0.68,0.73,<0.001,0,4,3,1,4,1,Female,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
121,0.32,0.31,0.33,<0.001,0,0,1,0,5,1,Northeast,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
122,0.31,0.29,0.32,<0.001,0,1,1,0,5,1,Northeast,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
123,0.48,0.35,0.67,<0.001,0,2,1,0,5,1,Northeast,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
124,0.33,0.29,0.38,<0.001,0,3,1,0,5,1,Northeast,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
125,0.36,0.34,0.39,<0.001,0,4,1,0,5,1,Northeast,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
126,0.38,0.37,0.39,<0.001,0,0,2,0,5,1,Northeast,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
127,0.37,0.35,0.38,<0.001,0,1,2,0,5,1,Northeast,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
128,0.59,0.43,0.83,0.002,0.0021,2,2,0,5,1,Northeast,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value 0.002",O1A2M2
129,0.35,0.31,0.4,<0.001,0,3,2,0,5,1,Northeast,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
130,0.44,0.41,0.47,<0.001,0,4,2,0,5,1,Northeast,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
131,0.51,0.49,0.53,<0.001,0,0,3,0,5,1,Northeast,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
132,0.49,0.47,0.52,<0.001,0,1,3,0,5,1,Northeast,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
133,0.58,0.41,0.82,0.002,0.002,2,3,0,5,1,Northeast,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value 0.002",O1A3M2
134,0.47,0.41,0.53,<0.001,0,3,3,0,5,1,Northeast,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
135,0.59,0.55,0.64,<0.001,0,4,3,0,5,1,Northeast,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
136,0.39,0.38,0.4,<0.001,0,0,1,1,5,1,Midwest,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
137,0.36,0.35,0.37,<0.001,0,1,1,1,5,1,Midwest,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
138,0.53,0.47,0.6,<0.001,0,2,1,1,5,1,Midwest,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
139,0.55,0.49,0.62,<0.001,0,3,1,1,5,1,Midwest,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
140,0.55,0.52,0.59,<0.001,0,4,1,1,5,1,Midwest,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
141,0.45,0.44,0.47,<0.001,0,0,2,1,5,1,Midwest,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
142,0.42,0.4,0.43,<0.001,0,1,2,1,5,1,Midwest,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
143,0.68,0.6,0.77,<0.001,0,2,2,1,5,1,Midwest,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
144,0.58,0.51,0.65,<0.001,0,3,2,1,5,1,Midwest,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
