lat,lon,perc,desc,race_ethn,race_ethn,r_e
-85.9,31.8,20.6,"Pike County, AL, White 20.6%",0,0,White
-85.9,31.8,8.0,"Pike County, AL, African American 8%",1,1,African American
-85.5,33.3,11.1,"Randolph County, AL, White 11.1%",0,0,White
-85.5,33.3,7.7,"Randolph County, AL, African American 7.7%",1,1,African American
-85.2,32.3,18.2,"Russell County, AL, White 18.2%",0,0,White
-85.2,32.3,12.0,"Russell County, AL, African American 12%",1,1,African American
-86.3,33.7,23.8,"St. Clair County, AL, White 23.8%",0,0,White
-86.3,33.7,20.0,"St. Clair County, AL, African American 20%",1,1,African American
-86.7,33.3,21.3,"Shelby County, AL, White 21.3%",0,0,White
-86.7,33.3,8.3,"Shelby County, AL, African American 8.3%",1,1,African American
-88.2,32.6,0.0,"Sumter County, AL, African American 0%",1,1,African American
-86.2,33.4,15.3,"Talladega County, AL, White 15.3%",0,0,White
-86.2,33.4,9.8,"Talladega County, AL, African American 9.8%",1,1,African American
-85.8,32.9,15.1,"Tallapoosa County, AL, White 15.1%",0,0,White
-85.8,32.9,16.0,"Tallapoosa County, AL, African American 16%",1,1,African American
-87.5,33.3,17.0,"Tuscaloosa County, AL, White 17%",0,0,White
-87.5,33.3,6.0,"Tuscaloosa County, AL, African American 6%",1,1,African American
-87.3,33.8,11.7,"Walker County, AL, White 11.7%",0,0,White
-87.3,33.8,8.3,"Walker County, AL, African American 8.3%",1,1,African American
-88.2,31.4,28.1,"Washington County, AL, White 28.1%",0,0,White
-88.2,31.4,5.4,"Washington County, AL, African American 5.4%",1,1,African American
-87.3,32.0,16.7,"Wilcox County, AL, White 16.7%",0,0,White
-87.3,32.0,2.6,"Wilcox County, AL, African American 2.6%",1,1,African American
-87.4,34.2,13.8,"Winston County, AL, White 13.8%",0,0,White
-149.3,61.2,18.9,"Anchorage Borough, AK, White 18.9%",0,0,White
-149.3,61.2,14.6,"Anchorage Borough, AK, African American 14.6%",1,1,African American
-149.3,61.2,14.6,"Anchorage Borough, AK, Native American 14.6%",2,2,Native American
-149.3,61.2,16.9,"Anchorage Borough, AK, Asian 16.9%",3,3,Asian
-149.3,61.2,11.1,"Anchorage Borough, AK, Hispanic 11.1%",4,4,Hispanic
-160.2,60.9,15.4,"Bethel Census Area, AK, Native American 15.4%",2,2,Native American
-146.6,64.7,21.7,"Fairbanks North Star Borough, AK, White 21.7%",0,0,White
-134.2,58.4,36.8,"Juneau Borough, AK, White 36.8%",0,0,White
-152.3,60.4,25.0,"Kenai Peninsula Borough, AK, White 25%",0,0,White
-149.4,62.2,25.3,"Matanuska-Susitna Borough, AK, White 25.3%",0,0,White
-109.5,35.4,23.8,"Apache County, AZ, White 23.8%",0,0,White
-109.5,35.4,9.0,"Apache County, AZ, Native American 9%",2,2,Native American
-109.5,35.4,21.4,"Apache County, AZ, Hispanic 21.4%",4,4,Hispanic
-109.8,31.9,25.4,"Cochise County, AZ, White 25.4%",0,0,White
-109.8,31.9,25.0,"Cochise County, AZ, African American 25%",1,1,African American
-109.8,31.9,22.3,"Cochise County, AZ, Hispanic 22.3%",4,4,Hispanic
-111.8,35.8,26.1,"Coconino County, AZ, White 26.1%",0,0,White
-111.8,35.8,0.0,"Coconino County, AZ, African American 0%",1,1,African American
-111.8,35.8,10.7,"Coconino County, AZ, Native American 10.7%",2,2,Native American
-111.8,35.8,24.2,"Coconino County, AZ, Hispanic 24.2%",4,4,Hispanic
-110.8,33.8,21.6,"Gila County, AZ, White 21.6%",0,0,White
-110.8,33.8,9.4,"Gila County, AZ, Native American 9.4%",2,2,Native American
-110.8,33.8,17.0,"Gila County, AZ, Hispanic 17%",4,4,Hispanic
-109.9,32.9,27.3,"Graham County, AZ, White 27.3%",0,0,White
-109.9,32.9,13.6,"Graham County, AZ, Native American 13.6%",2,2,Native American
-109.9,32.9,40.0,"Graham County, AZ, Hispanic 40%",4,4,Hispanic
-109.2,33.2,16.7,"Greenlee County, AZ, White 16.7%",0,0,White
-109.2,33.2,30.8,"Greenlee County, AZ, Hispanic 30.8%",4,4,Hispanic
-114.0,33.7,31.3,"La Paz County, AZ, White 31.3%",0,0,White
-114.0,33.7,6.7,"La Paz County, AZ, Native American 6.7%",2,2,Native American
-112.5,33.3,30.2,"Maricopa County, AZ, White 30.2%",0,0,White
-112.5,33.3,17.9,"Maricopa County, AZ, African American 17.9%",1,1,African American
-112.5,33.3,12.1,"Maricopa County, AZ, Native American 12.1%",2,2,Native American
-112.5,33.3,13.2,"Maricopa County, AZ, Asian 13.2%",3,3,Asian
-112.5,33.3,21.5,"Maricopa County, AZ, Hispanic 21.5%",4,4,Hispanic
-113.7,35.7,23.9,"Mohave County, AZ, White 23.9%",0,0,White
-113.7,35.7,20.0,"Mohave County, AZ, African American 20%",1,1,African American
-113.7,35.7,0.0,"Mohave County, AZ, Native American 0%",2,2,Native American
-113.7,35.7,12.3,"Mohave County, AZ, Hispanic 12.3%",4,4,Hispanic
-110.3,35.4,21.1,"Navajo County, AZ, White 21.1%",0,0,White
-110.3,35.4,9.0,"Navajo County, AZ, Native American 9%",2,2,Native American
-110.3,35.4,19.2,"Navajo County, AZ, Hispanic 19.2%",4,4,Hispanic
-111.8,32.1,33.0,"Pima County, AZ, White 33%",0,0,White
-111.8,32.1,23.6,"Pima County, AZ, African American 23.6%",1,1,African American
-111.8,32.1,17.7,"Pima County, AZ, Native American 17.7%",2,2,Native American
-111.8,32.1,18.5,"Pima County, AZ, Asian 18.5%",3,3,Asian
-111.8,32.1,27.1,"Pima County, AZ, Hispanic 27.1%",4,4,Hispanic
-111.4,32.9,28.1,"Pinal County, AZ, White 28.1%",0,0,White
-111.4,32.9,23.7,"Pinal County, AZ, African American 23.7%",1,1,African American
-111.4,32.9,13.2,"Pinal County, AZ, Native American 13.2%",2,2,Native American
-111.4,32.9,23.9,"Pinal County, AZ, Hispanic 23.9%",4,4,Hispanic
-110.8,31.5,0.0,"Santa Cruz County, AZ, White 0%",0,0,White
-110.8,31.5,18.4,"Santa Cruz County, AZ, Hispanic 18.4%",4,4,Hispanic
-112.6,34.6,35.3,"Yavapai County, AZ, White 35.3%",0,0,White
-112.6,34.6,21.1,"Yavapai County, AZ, Native American 21.1%",2,2,Native American
-112.6,34.6,30.2,"Yavapai County, AZ, Hispanic 30.2%",4,4,Hispanic
-113.9,32.8,31.9,"Yuma County, AZ, White 31.9%",0,0,White
-113.9,32.8,16.1,"Yuma County, AZ, Native American 16.1%",2,2,Native American
-113.9,32.8,23.9,"Yuma County, AZ, Hispanic 23.9%",4,4,Hispanic
-91.4,34.3,22.9,"Arkansas County, AR, White 22.9%",0,0,White
-91.4,34.3,5.0,"Arkansas County, AR, African American 5%",1,1,African American
-91.8,33.2,11.1,"Ashley County, AR, White 11.1%",0,0,White
-91.8,33.2,13.4,"Ashley County, AR, African American 13.4%",1,1,African American
-92.3,36.3,38.7,"Baxter County, AR, White 38.7%",0,0,White
-94.3,36.3,23.2,"Benton County, AR, White 23.2%",0,0,White
-94.3,36.3,25.0,"Benton County, AR, Hispanic 25%",4,4,Hispanic
-93.1,36.3,23.1,"Boone County, AR, White 23.1%",0,0,White
-92.2,33.5,22.7,"Bradley County, AR, White 22.7%",0,0,White
-92.2,33.5,12.9,"Bradley County, AR, African American 12.9%",1,1,African American
-92.5,33.6,14.3,"Calhoun County, AR, African American 14.3%",1,1,African American
-93.5,36.3,45.2,"Carroll County, AR, White 45.2%",0,0,White
-91.3,33.3,0.0,"Chicot County, AR, White 0%",0,0,White
-91.3,33.3,1.1,"Chicot County, AR, African American 1.1%",1,1,African American
-93.2,34.1,28.3,"Clark County, AR, White 28.3%",0,0,White
-93.2,34.1,8.3,"Clark County, AR, African American 8.3%",1,1,African American
-90.4,36.4,16.3,"Clay County, AR, White 16.3%",0,0,White
-92.1,35.6,19.3,"Cleburne County, AR, White 19.3%",0,0,White
-92.2,33.9,6.7,"Cleveland County, AR, White 6.7%",0,0,White
-92.2,33.9,7.7,"Cleveland County, AR, African American 7.7%",1,1,African American
-93.2,33.2,24.0,"Columbia County, AR, White 24%",0,0,White
-93.2,33.2,10.0,"Columbia County, AR, African American 10%",1,1,African American
-92.7,35.3,28.8,"Conway County, AR, White 28.8%",0,0,White
-92.7,35.3,4.0,"Conway County, AR, African American 4%",1,1,African American
-90.6,35.8,13.8,"Craighead County, AR, White 13.8%",0,0,White
-90.6,35.8,5.6,"Craighead County, AR, African American 5.6%",1,1,African American
-94.2,35.6,13.0,"Crawford County, AR, White 13%",0,0,White
-90.3,35.2,8.3,"Crittenden County, AR, White 8.3%",0,0,White
-90.3,35.2,5.9,"Crittenden County, AR, African American 5.9%",1,1,African American
-90.8,35.3,0.0,"Cross County, AR, White 0%",0,0,White
-90.8,35.3,7.9,"Cross County, AR, African American 7.9%",1,1,African American
-92.7,34.0,27.3,"Dallas County, AR, White 27.3%",0,0,White
-92.7,34.0,3.0,"Dallas County, AR, African American 3%",1,1,African American
-91.2,33.8,5.9,"Desha County, AR, White 5.9%",0,0,White
-91.2,33.8,9.7,"Desha County, AR, African American 9.7%",1,1,African American
-91.7,33.6,22.6,"Drew County, AR, White 22.6%",0,0,White
-91.7,33.6,11.3,"Drew County, AR, African American 11.3%",1,1,African American
-92.3,35.1,19.2,"Faulkner County, AR, White 19.2%",0,0,White
-92.3,35.1,15.6,"Faulkner County, AR, African American 15.6%",1,1,African American
-93.9,35.5,14.0,"Franklin County, AR, White 14%",0,0,White
-91.8,36.4,37.5,"Fulton County, AR, White 37.5%",0,0,White
-93.1,34.6,20.0,"Garland County, AR, White 20%",0,0,White
-93.1,34.6,18.5,"Garland County, AR, African American 18.5%",1,1,African American
-92.4,34.3,8.9,"Grant County, AR, White 8.9%",0,0,White
-90.6,36.1,8.6,"Greene County, AR, White 8.6%",0,0,White
-93.7,33.7,6.5,"Hempstead County, AR, White 6.5%",0,0,White
-93.7,33.7,8.5,"Hempstead County, AR, African American 8.5%",1,1,African American
-92.9,34.3,25.4,"Hot Spring County, AR, White 25.4%",0,0,White
-92.9,34.3,9.4,"Hot Spring County, AR, African American 9.4%",1,1,African American
-94.0,34.1,6.3,"Howard County, AR, White 6.3%",0,0,White
-94.0,34.1,11.1,"Howard County, AR, African American 11.1%",1,1,African American
-91.6,35.7,14.0,"Independence County, AR, White 14%",0,0,White
-91.9,36.1,25.5,"Izard County, AR, White 25.5%",0,0,White
-91.2,35.6,15.5,"Jackson County, AR, White 15.5%",0,0,White
-91.2,35.6,10.4,"Jackson County, AR, African American 10.4%",1,1,African American
-91.9,34.3,12.1,"Jefferson County, AR, White 12.1%",0,0,White
-91.9,34.3,5.7,"Jefferson County, AR, African American 5.7%",1,1,African American
-93.5,35.6,16.7,"Johnson County, AR, White 16.7%",0,0,White
-93.6,33.2,5.0,"Lafayette County, AR, White 5%",0,0,White
-93.6,33.2,6.3,"Lafayette County, AR, African American 6.3%",1,1,African American
-91.1,36.0,14.3,"Lawrence County, AR, White 14.3%",0,0,White
-90.8,34.8,9.1,"Lee County, AR, White 9.1%",0,0,White
-90.8,34.8,2.3,"Lee County, AR, African American 2.3%",1,1,African American
-91.7,34.0,14.3,"Lincoln County, AR, White 14.3%",0,0,White
-91.7,34.0,4.2,"Lincoln County, AR, African American 4.2%",1,1,African American
-94.2,33.7,24.1,"Little River County, AR, White 24.1%",0,0,White
-94.2,33.7,12.1,"Little River County, AR, African American 12.1%",1,1,African American
-93.7,35.2,14.6,"Logan County, AR, White 14.6%",0,0,White
-91.9,34.8,18.4,"Lonoke County, AR, White 18.4%",0,0,White
-91.9,34.8,14.6,"Lonoke County, AR, African American 14.6%",1,1,African American
-93.7,36.0,16.7,"Madison County, AR, White 16.7%",0,0,White
-92.7,36.3,30.8,"Marion County, AR, White 30.8%",0,0,White
-93.9,33.3,24.0,"Miller County, AR, White 24%",0,0,White
-93.9,33.3,7.9,"Miller County, AR, African American 7.9%",1,1,African American
-90.1,35.8,13.8,"Mississippi County, AR, White 13.8%",0,0,White
-90.1,35.8,3.6,"Mississippi County, AR, African American 3.6%",1,1,African American
-91.2,34.7,52.9,"Monroe County, AR, White 52.9%",0,0,White
-91.2,34.7,2.9,"Monroe County, AR, African American 2.9%",1,1,African American
-93.7,34.5,12.5,"Montgomery County, AR, White 12.5%",0,0,White
-93.3,33.7,21.1,"Nevada County, AR, White 21.1%",0,0,White
-93.3,33.7,5.9,"Nevada County, AR, African American 5.9%",1,1,African American
-93.2,35.9,50.0,"Newton County, AR, White 50%",0,0,White
-92.9,33.6,16.0,"Ouachita County, AR, White 16%",0,0,White
-92.9,33.6,6.9,"Ouachita County, AR, African American 6.9%",1,1,African American
-92.9,34.9,21.4,"Perry County, AR, White 21.4%",0,0,White
-90.8,34.4,3.1,"Phillips County, AR, White 3.1%",0,0,White
-90.8,34.4,5.6,"Phillips County, AR, African American 5.6%",1,1,African American
-93.7,34.2,17.4,"Pike County, AR, White 17.4%",0,0,White
-90.7,35.6,19.4,"Poinsett County, AR, White 19.4%",0,0,White
-90.7,35.6,6.3,"Poinsett County, AR, African American 6.3%",1,1,African American
-94.2,34.5,11.5,"Polk County, AR, White 11.5%",0,0,White
-93.0,35.5,14.6,"Pope County, AR, White 14.6%",0,0,White
-91.6,34.8,0.0,"Prairie County, AR, White 0%",0,0,White
-91.6,34.8,7.1,"Prairie County, AR, African American 7.1%",1,1,African American
-92.3,34.8,18.7,"Pulaski County, AR, White 18.7%",0,0,White
-92.3,34.8,10.7,"Pulaski County, AR, African American 10.7%",1,1,African American
-92.3,34.8,13.0,"Pulaski County, AR, Hispanic 13%",4,4,Hispanic
-91.0,36.3,18.8,"Randolph County, AR, White 18.8%",0,0,White
-90.7,35.0,8.8,"St. Francis County, AR, White 8.8%",0,0,White
-90.7,35.0,5.5,"St. Francis County, AR, African American 5.5%",1,1,African American
-92.7,34.6,15.4,"Saline County, AR, White 15.4%",0,0,White
-92.7,34.6,8.3,"Saline County, AR, African American 8.3%",1,1,African American
-94.1,34.9,3.8,"Scott County, AR, White 3.8%",0,0,White
-92.7,35.9,19.0,"Searcy County, AR, White 19%",0,0,White
-94.3,35.2,9.7,"Sebastian County, AR, White 9.7%",0,0,White
-94.3,35.2,1.9,"Sebastian County, AR, African American 1.9%",1,1,African American
-94.3,35.2,12.5,"Sebastian County, AR, Asian 12.5%",3,3,Asian
-94.2,34.0,23.1,"Sevier County, AR, White 23.1%",0,0,White
-91.5,36.2,12.9,"Sharp County, AR, White 12.9%",0,0,White
-92.1,35.9,10.7,"Stone County, AR, White 10.7%",0,0,White
-92.6,33.2,18.5,"Union County, AR, White 18.5%",0,0,White
-92.6,33.2,14.7,"Union County, AR, African American 14.7%",1,1,African American
-92.5,35.6,33.3,"Van Buren County, AR, White 33.3%",0,0,White
-94.2,36.0,23.0,"Washington County, AR, White 23%",0,0,White
-94.2,36.0,20.0,"Washington County, AR, African American 20%",1,1,African American
-94.2,36.0,45.5,"Washington County, AR, Asian 45.5%",3,3,Asian
-94.2,36.0,0.0,"Washington County, AR, Hispanic 0%",4,4,Hispanic
-91.8,35.3,16.2,"White County, AR, White 16.2%",0,0,White
-91.8,35.3,29.2,"White County, AR, African American 29.2%",1,1,African American
-91.2,35.2,8.3,"Woodruff County, AR, White 8.3%",0,0,White
-91.2,35.2,9.4,"Woodruff County, AR, African American 9.4%",1,1,African American
-93.4,35.0,18.8,"Yell County, AR, White 18.8%",0,0,White
-121.9,37.6,19.5,"Alameda County, CA, White 19.5%",0,0,White
-121.9,37.6,8.9,"Alameda County, CA, African American 8.9%",1,1,African American
-121.9,37.6,9.5,"Alameda County, CA, Native American 9.5%",2,2,Native American
-121.9,37.6,12.7,"Alameda County, CA, Asian 12.7%",3,3,Asian
-121.9,37.6,16.1,"Alameda County, CA, Hispanic 16.1%",4,4,Hispanic
-120.7,38.4,28.6,"Amador County, CA, White 28.6%",0,0,White
-121.6,39.7,24.7,"Butte County, CA, White 24.7%",0,0,White
-121.6,39.7,8.0,"Butte County, CA, African American 8%",1,1,African American
-121.6,39.7,11.8,"Butte County, CA, Asian 11.8%",3,3,Asian
-121.6,39.7,17.8,"Butte County, CA, Hispanic 17.8%",4,4,Hispanic
-120.6,38.2,30.2,"Calaveras County, CA, White 30.2%",0,0,White
-122.2,39.2,21.7,"Colusa County, CA, White 21.7%",0,0,White
-122.2,39.2,0.0,"Colusa County, CA, Hispanic 0%",4,4,Hispanic
-122.0,37.9,22.0,"Contra Costa County, CA, White 22%",0,0,White
-122.0,37.9,12.6,"Contra Costa County, CA, African American 12.6%",1,1,African American
-122.0,37.9,16.5,"Contra Costa County, CA, Asian 16.5%",3,3,Asian
-122.0,37.9,17.8,"Contra Costa County, CA, Hispanic 17.8%",4,4,Hispanic
-124.0,41.7,16.7,"Del Norte County, CA, White 16.7%",0,0,White
-120.5,38.8,22.3,"El Dorado County, CA, White 22.3%",0,0,White
-120.5,38.8,12.5,"El Dorado County, CA, Hispanic 12.5%",4,4,Hispanic
-119.7,36.8,12.6,"Fresno County, CA, White 12.6%",0,0,White
-119.7,36.8,5.7,"Fresno County, CA, African American 5.7%",1,1,African American
-119.7,36.8,0.0,"Fresno County, CA, Native American 0%",2,2,Native American
-119.7,36.8,7.6,"Fresno County, CA, Asian 7.6%",3,3,Asian
-119.7,36.8,8.6,"Fresno County, CA, Hispanic 8.6%",4,4,Hispanic
-122.4,39.6,39.0,"Glenn County, CA, White 39%",0,0,White
-122.4,39.6,20.0,"Glenn County, CA, Hispanic 20%",4,4,Hispanic
-123.9,40.7,29.8,"Humboldt County, CA, White 29.8%",0,0,White
-123.9,40.7,20.0,"Humboldt County, CA, Native American 20%",2,2,Native American
-123.9,40.7,20.0,"Humboldt County, CA, Hispanic 20%",4,4,Hispanic
-115.4,33.0,17.6,"Imperial County, CA, White 17.6%",0,0,White
-115.4,33.0,0.0,"Imperial County, CA, African American 0%",1,1,African American
-115.4,33.0,15.2,"Imperial County, CA, Native American 15.2%",2,2,Native American
-115.4,33.0,14.4,"Imperial County, CA, Hispanic 14.4%",4,4,Hispanic
-117.4,36.6,9.1,"Inyo County, CA, White 9.1%",0,0,White
-117.4,36.6,41.7,"Inyo County, CA, Native American 41.7%",2,2,Native American
-118.7,35.3,12.8,"Kern County, CA, White 12.8%",0,0,White
-118.7,35.3,5.6,"Kern County, CA, African American 5.6%",1,1,African American
-118.7,35.3,1.1,"Kern County, CA, Asian 1.1%",3,3,Asian
-118.7,35.3,8.0,"Kern County, CA, Hispanic 8%",4,4,Hispanic
-119.8,36.1,14.8,"Kings County, CA, White 14.8%",0,0,White
-119.8,36.1,3.0,"Kings County, CA, African American 3%",1,1,African American
-119.8,36.1,17.6,"Kings County, CA, Asian 17.6%",3,3,Asian
-119.8,36.1,10.1,"Kings County, CA, Hispanic 10.1%",4,4,Hispanic
-122.7,39.1,22.6,"Lake County, CA, White 22.6%",0,0,White
-122.7,39.1,9.5,"Lake County, CA, African American 9.5%",1,1,African American
-122.7,39.1,5.3,"Lake County, CA, Native American 5.3%",2,2,Native American
-122.7,39.1,22.7,"Lake County, CA, Hispanic 22.7%",4,4,Hispanic
-120.6,40.7,14.3,"Lassen County, CA, White 14.3%",0,0,White
-118.3,34.2,10.8,"Los Angeles County, CA, White 10.8%",0,0,White
-118.3,34.2,4.5,"Los Angeles County, CA, African American 4.5%",1,1,African American
-118.3,34.2,5.7,"Los Angeles County, CA, Native American 5.7%",2,2,Native American
-118.3,34.2,5.7,"Los Angeles County, CA, Asian 5.7%",3,3,Asian
-118.3,34.2,6.7,"Los Angeles County, CA, Hispanic 6.7%",4,4,Hispanic
-119.7,37.2,8.9,"Madera County, CA, White 8.9%",0,0,White
-119.7,37.2,2.6,"Madera County, CA, African American 2.6%",1,1,African American
-119.7,37.2,6.9,"Madera County, CA, Hispanic 6.9%",4,4,Hispanic
-122.7,38.1,27.8,"Marin County, CA, White 27.8%",0,0,White
-122.7,38.1,16.0,"Marin County, CA, African American 16%",1,1,African American
-122.7,38.1,19.0,"Marin County, CA, Asian 19%",3,3,Asian
-122.7,38.1,11.1,"Marin County, CA, Hispanic 11.1%",4,4,Hispanic
-119.9,37.6,14.3,"Mariposa County, CA, White 14.3%",0,0,White
-123.4,39.4,29.7,"Mendocino County, CA, White 29.7%",0,0,White
-123.4,39.4,25.0,"Mendocino County, CA, Native American 25%",2,2,Native American
-123.4,39.4,23.5,"Mendocino County, CA, Hispanic 23.5%",4,4,Hispanic
-120.7,37.2,16.4,"Merced County, CA, White 16.4%",0,0,White
