aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,oam
0.54,0.53,0.56,<0.001,0,4,2,1,2,1,2006-12,O1A2M4
0.55,0.54,0.56,<0.001,0,0,3,1,2,1,2006-12,O1A3M0
0.51,0.49,0.52,<0.001,0,1,3,1,2,1,2006-12,O1A3M1
0.65,0.6,0.7,<0.001,0,2,3,1,2,1,2006-12,O1A3M2
0.48,0.46,0.51,<0.001,0,3,3,1,2,1,2006-12,O1A3M3
0.69,0.67,0.71,<0.001,0,4,3,1,2,1,2006-12,O1A3M4
0.53,0.48,0.59,<0.001,0,0,1,0,3,1,Age 0-39,O1A1M0
0.47,0.42,0.53,<0.001,0,1,1,0,3,1,Age 0-39,O1A1M1
0.94,0.65,1.38,0.762,0.7616,2,1,0,3,1,Age 0-39,O1A1M2
0.46,0.3,0.71,<0.001,4.00E-04,3,1,0,3,1,Age 0-39,O1A1M3
0.72,0.61,0.84,<0.001,0,4,1,0,3,1,Age 0-39,O1A1M4
0.52,0.47,0.58,<0.001,0,0,2,0,3,1,Age 0-39,O1A2M0
0.46,0.41,0.52,<0.001,0,1,2,0,3,1,Age 0-39,O1A2M1
0.93,0.64,1.36,0.727,0.7265,2,2,0,3,1,Age 0-39,O1A2M2
0.46,0.3,0.7,<0.001,4.00E-04,3,2,0,3,1,Age 0-39,O1A2M3
0.71,0.61,0.83,<0.001,0,4,2,0,3,1,Age 0-39,O1A2M4
0.58,0.51,0.65,<0.001,0,0,3,0,3,1,Age 0-39,O1A3M0
0.49,0.43,0.56,<0.001,0,1,3,0,3,1,Age 0-39,O1A3M1
0.93,0.63,1.38,0.713,0.7135,2,3,0,3,1,Age 0-39,O1A3M2
0.51,0.32,0.8,0.004,0.004,3,3,0,3,1,Age 0-39,O1A3M3
0.85,0.71,1.02,0.074,0.0741,4,3,0,3,1,Age 0-39,O1A3M4
0.47,0.46,0.48,<0.001,0,0,1,1,3,1,Age 40-64,O1A1M0
0.42,0.41,0.44,<0.001,0,1,1,1,3,1,Age 40-64,O1A1M1
0.73,0.66,0.81,<0.001,0,2,1,1,3,1,Age 40-64,O1A1M2
0.42,0.38,0.46,<0.001,0,3,1,1,3,1,Age 40-64,O1A1M3
0.58,0.56,0.61,<0.001,0,4,1,1,3,1,Age 40-64,O1A1M4
0.47,0.45,0.48,<0.001,0,0,2,1,3,1,Age 40-64,O1A2M0
0.42,0.41,0.43,<0.001,0,1,2,1,3,1,Age 40-64,O1A2M1
0.72,0.65,0.8,<0.001,0,2,2,1,3,1,Age 40-64,O1A2M2
0.42,0.38,0.46,<0.001,0,3,2,1,3,1,Age 40-64,O1A2M3
0.58,0.56,0.61,<0.001,0,4,2,1,3,1,Age 40-64,O1A2M4
0.56,0.54,0.57,<0.001,0,0,3,1,3,1,Age 40-64,O1A3M0
0.5,0.48,0.51,<0.001,0,1,3,1,3,1,Age 40-64,O1A3M1
0.72,0.65,0.8,<0.001,0,2,3,1,3,1,Age 40-64,O1A3M2
0.47,0.42,0.52,<0.001,0,3,3,1,3,1,Age 40-64,O1A3M3
0.74,0.71,0.77,<0.001,0,4,3,1,3,1,Age 40-64,O1A3M4
0.48,0.47,0.49,<0.001,0,0,1,2,3,1,Age 65-79,O1A1M0
0.43,0.42,0.44,<0.001,0,1,1,2,3,1,Age 65-79,O1A1M1
0.71,0.65,0.77,<0.001,0,2,1,2,3,1,Age 65-79,O1A1M2
0.43,0.41,0.46,<0.001,0,3,1,2,3,1,Age 65-79,O1A1M3
0.58,0.56,0.59,<0.001,0,4,1,2,3,1,Age 65-79,O1A1M4
0.47,0.46,0.48,<0.001,0,0,2,2,3,1,Age 65-79,O1A2M0
0.42,0.41,0.43,<0.001,0,1,2,2,3,1,Age 65-79,O1A2M1
0.69,0.63,0.75,<0.001,0,2,2,2,3,1,Age 65-79,O1A2M2
0.43,0.4,0.45,<0.001,0,3,2,2,3,1,Age 65-79,O1A2M3
0.57,0.55,0.59,<0.001,0,4,2,2,3,1,Age 65-79,O1A2M4
0.55,0.54,0.56,<0.001,0,0,3,2,3,1,Age 65-79,O1A3M0
0.49,0.48,0.5,<0.001,0,1,3,2,3,1,Age 65-79,O1A3M1
0.65,0.59,0.71,<0.001,0,2,3,2,3,1,Age 65-79,O1A3M2
0.46,0.43,0.49,<0.001,0,3,3,2,3,1,Age 65-79,O1A3M3
0.71,0.69,0.74,<0.001,0,4,3,2,3,1,Age 65-79,O1A3M4
0.47,0.46,0.49,<0.001,0,0,1,3,3,1,Age 80+,O1A1M0
0.44,0.43,0.45,<0.001,0,1,1,3,3,1,Age 80+,O1A1M1
0.66,0.56,0.78,<0.001,0,2,1,3,3,1,Age 80+,O1A1M2
0.42,0.4,0.45,<0.001,0,3,1,3,3,1,Age 80+,O1A1M3
0.57,0.55,0.59,<0.001,0,4,1,3,3,1,Age 80+,O1A1M4
0.46,0.45,0.47,<0.001,0,0,2,3,3,1,Age 80+,O1A2M0
0.42,0.41,0.44,<0.001,0,1,2,3,3,1,Age 80+,O1A2M1
0.63,0.54,0.74,<0.001,0,2,2,3,3,1,Age 80+,O1A2M2
0.42,0.39,0.44,<0.001,0,3,2,3,3,1,Age 80+,O1A2M3
0.56,0.54,0.59,<0.001,0,4,2,3,3,1,Age 80+,O1A2M4
0.52,0.51,0.54,<0.001,0,0,3,3,3,1,Age 80+,O1A3M0
0.48,0.47,0.5,<0.001,0,1,3,3,3,1,Age 80+,O1A3M1
0.59,0.5,0.69,<0.001,0,2,3,3,3,1,Age 80+,O1A3M2
0.44,0.41,0.47,<0.001,0,3,3,3,3,1,Age 80+,O1A3M3
0.68,0.65,0.71,<0.001,0,4,3,3,3,1,Age 80+,O1A3M4
0.4,0.39,0.4,<0.001,0,0,1,0,4,1,Male,O1A1M0
0.35,0.34,0.36,<0.001,0,1,1,0,4,1,Male,O1A1M1
0.55,0.5,0.6,<0.001,0,2,1,0,4,1,Male,O1A1M2
0.4,0.38,0.42,<0.001,0,3,1,0,4,1,Male,O1A1M3
0.5,0.48,0.51,<0.001,0,4,1,0,4,1,Male,O1A1M4
0.48,0.47,0.49,<0.001,0,0,2,0,4,1,Male,O1A2M0
0.44,0.43,0.45,<0.001,0,1,2,0,4,1,Male,O1A2M1
0.72,0.66,0.79,<0.001,0,2,2,0,4,1,Male,O1A2M2
0.41,0.39,0.44,<0.001,0,3,2,0,4,1,Male,O1A2M3
0.58,0.56,0.59,<0.001,0,4,2,0,4,1,Male,O1A2M4
0.55,0.54,0.56,<0.001,0,0,3,0,4,1,Male,O1A3M0
0.5,0.49,0.51,<0.001,0,1,3,0,4,1,Male,O1A3M1
0.68,0.62,0.75,<0.001,0,2,3,0,4,1,Male,O1A3M2
0.44,0.41,0.47,<0.001,0,3,3,0,4,1,Male,O1A3M3
0.71,0.69,0.74,<0.001,0,4,3,0,4,1,Male,O1A3M4
0.41,0.4,0.41,<0.001,0,0,1,1,4,1,Female,O1A1M0
0.36,0.35,0.37,<0.001,0,1,1,1,4,1,Female,O1A1M1
0.56,0.51,0.6,<0.001,0,2,1,1,4,1,Female,O1A1M2
0.43,0.41,0.46,<0.001,0,3,1,1,4,1,Female,O1A1M3
0.51,0.5,0.53,<0.001,0,4,1,1,4,1,Female,O1A1M4
0.46,0.45,0.46,<0.001,0,0,2,1,4,1,Female,O1A2M0
0.41,0.4,0.42,<0.001,0,1,2,1,4,1,Female,O1A2M1
0.68,0.63,0.73,<0.001,0,2,2,1,4,1,Female,O1A2M2
0.43,0.41,0.45,<0.001,0,3,2,1,4,1,Female,O1A2M3
0.57,0.55,0.59,<0.001,0,4,2,1,4,1,Female,O1A2M4
0.53,0.52,0.54,<0.001,0,0,3,1,4,1,Female,O1A3M0
0.47,0.46,0.49,<0.001,0,1,3,1,4,1,Female,O1A3M1
0.64,0.59,0.7,<0.001,0,2,3,1,4,1,Female,O1A3M2
0.46,0.44,0.49,<0.001,0,3,3,1,4,1,Female,O1A3M3
0.7,0.68,0.73,<0.001,0,4,3,1,4,1,Female,O1A3M4
0.32,0.31,0.33,<0.001,0,0,1,0,5,1,Northeast,O1A1M0
0.31,0.29,0.32,<0.001,0,1,1,0,5,1,Northeast,O1A1M1
0.48,0.35,0.67,<0.001,0,2,1,0,5,1,Northeast,O1A1M2
0.33,0.29,0.38,<0.001,0,3,1,0,5,1,Northeast,O1A1M3
0.36,0.34,0.39,<0.001,0,4,1,0,5,1,Northeast,O1A1M4
0.38,0.37,0.39,<0.001,0,0,2,0,5,1,Northeast,O1A2M0
0.37,0.35,0.38,<0.001,0,1,2,0,5,1,Northeast,O1A2M1
0.59,0.43,0.83,0.002,0.0021,2,2,0,5,1,Northeast,O1A2M2
0.35,0.31,0.4,<0.001,0,3,2,0,5,1,Northeast,O1A2M3
0.44,0.41,0.47,<0.001,0,4,2,0,5,1,Northeast,O1A2M4
0.51,0.49,0.53,<0.001,0,0,3,0,5,1,Northeast,O1A3M0
0.49,0.47,0.52,<0.001,0,1,3,0,5,1,Northeast,O1A3M1
0.58,0.41,0.82,0.002,0.002,2,3,0,5,1,Northeast,O1A3M2
0.47,0.41,0.53,<0.001,0,3,3,0,5,1,Northeast,O1A3M3
0.59,0.55,0.64,<0.001,0,4,3,0,5,1,Northeast,O1A3M4
0.39,0.38,0.4,<0.001,0,0,1,1,5,1,Midwest,O1A1M0
0.36,0.35,0.37,<0.001,0,1,1,1,5,1,Midwest,O1A1M1
0.53,0.47,0.6,<0.001,0,2,1,1,5,1,Midwest,O1A1M2
0.55,0.49,0.62,<0.001,0,3,1,1,5,1,Midwest,O1A1M3
0.55,0.52,0.59,<0.001,0,4,1,1,5,1,Midwest,O1A1M4
0.45,0.44,0.47,<0.001,0,0,2,1,5,1,Midwest,O1A2M0
0.42,0.4,0.43,<0.001,0,1,2,1,5,1,Midwest,O1A2M1
0.68,0.6,0.77,<0.001,0,2,2,1,5,1,Midwest,O1A2M2
0.58,0.51,0.65,<0.001,0,3,2,1,5,1,Midwest,O1A2M3
0.63,0.59,0.67,<0.001,0,4,2,1,5,1,Midwest,O1A2M4
0.55,0.54,0.57,<0.001,0,0,3,1,5,1,Midwest,O1A3M0
0.51,0.49,0.53,<0.001,0,1,3,1,5,1,Midwest,O1A3M1
0.68,0.59,0.77,<0.001,0,2,3,1,5,1,Midwest,O1A3M2
0.7,0.62,0.8,<0.001,0,3,3,1,5,1,Midwest,O1A3M3
0.75,0.7,0.8,<0.001,0,4,3,1,5,1,Midwest,O1A3M4
0.47,0.46,0.48,<0.001,0,0,1,2,5,1,South,O1A1M0
0.41,0.4,0.42,<0.001,0,1,1,2,5,1,South,O1A1M1
0.57,0.51,0.64,<0.001,0,2,1,2,5,1,South,O1A1M2
0.51,0.46,0.57,<0.001,0,3,1,2,5,1,South,O1A1M3
0.7,0.68,0.72,<0.001,0,4,1,2,5,1,South,O1A1M4
0.53,0.52,0.54,<0.001,0,0,2,2,5,1,South,O1A2M0
0.47,0.46,0.48,<0.001,0,1,2,2,5,1,South,O1A2M1
0.69,0.61,0.78,<0.001,0,2,2,2,5,1,South,O1A2M2
0.52,0.46,0.58,<0.001,0,3,2,2,5,1,South,O1A2M3
0.76,0.73,0.78,<0.001,0,4,2,2,5,1,South,O1A2M4
0.54,0.53,0.56,<0.001,0,0,3,2,5,1,South,O1A3M0
0.49,0.48,0.5,<0.001,0,1,3,2,5,1,South,O1A3M1
0.73,0.65,0.83,<0.001,0,2,3,2,5,1,South,O1A3M2
0.54,0.48,0.6,<0.001,0,3,3,2,5,1,South,O1A3M3
0.77,0.75,0.8,<0.001,0,4,3,2,5,1,South,O1A3M4
0.43,0.42,0.44,<0.001,0,0,1,3,5,1,West,O1A1M0
0.33,0.32,0.35,<0.001,0,1,1,3,5,1,West,O1A1M1
0.51,0.47,0.56,<0.001,0,2,1,3,5,1,West,O1A1M2
0.39,0.37,0.41,<0.001,0,3,1,3,5,1,West,O1A1M3
0.5,0.49,0.52,<0.001,0,4,1,3,5,1,West,O1A1M4
0.47,0.46,0.48,<0.001,0,0,2,3,5,1,West,O1A2M0
0.38,0.36,0.4,<0.001,0,1,2,3,5,1,West,O1A2M1
0.62,0.57,0.67,<0.001,0,2,2,3,5,1,West,O1A2M2
0.37,0.36,0.39,<0.001,0,3,2,3,5,1,West,O1A2M3
0.55,0.53,0.57,<0.001,0,4,2,3,5,1,West,O1A2M4
0.57,0.55,0.58,<0.001,0,0,3,3,5,1,West,O1A3M0
0.5,0.48,0.53,<0.001,0,1,3,3,5,1,West,O1A3M1
0.58,0.53,0.63,<0.001,0,2,3,3,5,1,West,O1A3M2
0.43,0.41,0.46,<0.001,0,3,3,3,5,1,West,O1A3M3
0.68,0.65,0.7,<0.001,0,4,3,3,5,1,West,O1A3M4
0.42,0.41,0.42,<0.001,0,0,1,0,6,1,"Metro, 1 million+",O1A1M0
0.36,0.36,0.37,<0.001,0,1,1,0,6,1,"Metro, 1 million+",O1A1M1
0.57,0.5,0.66,<0.001,0,2,1,0,6,1,"Metro, 1 million+",O1A1M2
0.45,0.43,0.47,<0.001,0,3,1,0,6,1,"Metro, 1 million+",O1A1M3
0.55,0.53,0.56,<0.001,0,4,1,0,6,1,"Metro, 1 million+",O1A1M4
0.48,0.47,0.49,<0.001,0,0,2,0,6,1,"Metro, 1 million+",O1A2M0
0.43,0.42,0.44,<0.001,0,1,2,0,6,1,"Metro, 1 million+",O1A2M1
0.72,0.63,0.83,<0.001,0,2,2,0,6,1,"Metro, 1 million+",O1A2M2
0.45,0.42,0.47,<0.001,0,3,2,0,6,1,"Metro, 1 million+",O1A2M3
0.62,0.6,0.64,<0.001,0,4,2,0,6,1,"Metro, 1 million+",O1A2M4
0.53,0.52,0.54,<0.001,0,0,3,0,6,1,"Metro, 1 million+",O1A3M0
0.48,0.47,0.49,<0.001,0,1,3,0,6,1,"Metro, 1 million+",O1A3M1
0.72,0.62,0.82,<0.001,0,2,3,0,6,1,"Metro, 1 million+",O1A3M2
0.48,0.45,0.5,<0.001,0,3,3,0,6,1,"Metro, 1 million+",O1A3M3
0.68,0.66,0.7,<0.001,0,4,3,0,6,1,"Metro, 1 million+",O1A3M4
0.47,0.46,0.48,<0.001,0,0,1,1,6,1,"Metro, 0.25-0.99 million",O1A1M0
0.42,0.4,0.43,<0.001,0,1,1,1,6,1,"Metro, 0.25-0.99 million",O1A1M1
0.64,0.56,0.74,<0.001,0,2,1,1,6,1,"Metro, 0.25-0.99 million",O1A1M2
0.44,0.41,0.48,<0.001,0,3,1,1,6,1,"Metro, 0.25-0.99 million",O1A1M3
0.6,0.57,0.62,<0.001,0,4,1,1,6,1,"Metro, 0.25-0.99 million",O1A1M4
0.54,0.52,0.55,<0.001,0,0,2,1,6,1,"Metro, 0.25-0.99 million",O1A2M0
0.49,0.47,0.5,<0.001,0,1,2,1,6,1,"Metro, 0.25-0.99 million",O1A2M1
0.8,0.7,0.93,0.003,0.003,2,2,1,6,1,"Metro, 0.25-0.99 million",O1A2M2
0.44,0.41,0.48,<0.001,0,3,2,1,6,1,"Metro, 0.25-0.99 million",O1A2M3
0.66,0.64,0.69,<0.001,0,4,2,1,6,1,"Metro, 0.25-0.99 million",O1A2M4
0.53,0.52,0.55,<0.001,0,0,3,1,6,1,"Metro, 0.25-0.99 million",O1A3M0
0.5,0.48,0.52,<0.001,0,1,3,1,6,1,"Metro, 0.25-0.99 million",O1A3M1
0.76,0.65,0.88,<0.001,2.00E-04,2,3,1,6,1,"Metro, 0.25-0.99 million",O1A3M2
0.4,0.36,0.43,<0.001,0,3,3,1,6,1,"Metro, 0.25-0.99 million",O1A3M3
0.66,0.63,0.69,<0.001,0,4,3,1,6,1,"Metro, 0.25-0.99 million",O1A3M4
0.47,0.45,0.48,<0.001,0,0,1,2,6,1,"Metro, < 0.25 million",O1A1M0
0.39,0.37,0.41,<0.001,0,1,1,2,6,1,"Metro, < 0.25 million",O1A1M1
0.58,0.49,0.69,<0.001,0,2,1,2,6,1,"Metro, < 0.25 million",O1A1M2
0.74,0.61,0.88,0.001,0.001,3,1,2,6,1,"Metro, < 0.25 million",O1A1M3
0.67,0.63,0.72,<0.001,0,4,1,2,6,1,"Metro, < 0.25 million",O1A1M4
0.53,0.51,0.55,<0.001,0,0,2,2,6,1,"Metro, < 0.25 million",O1A2M0
0.44,0.42,0.46,<0.001,0,1,2,2,6,1,"Metro, < 0.25 million",O1A2M1
0.68,0.58,0.81,<0.001,0,2,2,2,6,1,"Metro, < 0.25 million",O1A2M2
0.78,0.65,0.94,0.01,0.0104,3,2,2,6,1,"Metro, < 0.25 million",O1A2M3
0.76,0.71,0.81,<0.001,0,4,2,2,6,1,"Metro, < 0.25 million",O1A2M4
0.58,0.56,0.61,<0.001,0,0,3,2,6,1,"Metro, < 0.25 million",O1A3M0
0.51,0.49,0.54,<0.001,0,1,3,2,6,1,"Metro, < 0.25 million",O1A3M1
0.6,0.5,0.72,<0.001,0,2,3,2,6,1,"Metro, < 0.25 million",O1A3M2
0.72,0.6,0.87,<0.001,7.00E-04,3,3,2,6,1,"Metro, < 0.25 million",O1A3M3
0.74,0.69,0.8,<0.001,0,4,3,2,6,1,"Metro, < 0.25 million",O1A3M4
0.44,0.42,0.45,<0.001,0,0,1,3,6,1,Non-metro,O1A1M0
0.36,0.34,0.37,<0.001,0,1,1,3,6,1,Non-metro,O1A1M1
0.51,0.47,0.55,<0.001,0,2,1,3,6,1,Non-metro,O1A1M2
0.5,0.43,0.58,<0.001,0,3,1,3,6,1,Non-metro,O1A1M3
0.75,0.71,0.8,<0.001,0,4,1,3,6,1,Non-metro,O1A1M4
0.49,0.47,0.51,<0.001,0,0,2,3,6,1,Non-metro,O1A2M0
0.4,0.38,0.41,<0.001,0,1,2,3,6,1,Non-metro,O1A2M1
0.61,0.56,0.66,<0.001,0,2,2,3,6,1,Non-metro,O1A2M2
0.52,0.44,0.61,<0.001,0,3,2,3,6,1,Non-metro,O1A2M3
0.85,0.8,0.9,<0.001,0,4,2,3,6,1,Non-metro,O1A2M4
0.59,0.57,0.61,<0.001,0,0,3,3,6,1,Non-metro,O1A3M0
0.51,0.49,0.54,<0.001,0,1,3,3,6,1,Non-metro,O1A3M1
0.58,0.53,0.63,<0.001,0,2,3,3,6,1,Non-metro,O1A3M2
0.46,0.39,0.55,<0.001,0,3,3,3,6,1,Non-metro,O1A3M3
0.91,0.86,0.97,0.004,0.0041,4,3,3,6,1,Non-metro,O1A3M4
0.47,0.46,0.48,<0.001,0,0,1,0,7,1,Gini < 0.429,O1A1M0
0.39,0.37,0.4,<0.001,0,1,1,0,7,1,Gini < 0.429,O1A1M1
0.59,0.53,0.65,<0.001,0,2,1,0,7,1,Gini < 0.429,O1A1M2
0.51,0.48,0.55,<0.001,0,3,1,0,7,1,Gini < 0.429,O1A1M3
0.68,0.65,0.71,<0.001,0,4,1,0,7,1,Gini < 0.429,O1A1M4
0.53,0.52,0.54,<0.001,0,0,2,0,7,1,Gini < 0.429,O1A2M0
0.44,0.43,0.46,<0.001,0,1,2,0,7,1,Gini < 0.429,O1A2M1
0.71,0.64,0.79,<0.001,0,2,2,0,7,1,Gini < 0.429,O1A2M2
0.52,0.48,0.56,<0.001,0,3,2,0,7,1,Gini < 0.429,O1A2M3
0.78,0.74,0.82,<0.001,0,4,2,0,7,1,Gini < 0.429,O1A2M4
0.55,0.53,0.57,<0.001,0,0,3,0,7,1,Gini < 0.429,O1A3M0
0.49,0.48,0.51,<0.001,0,1,3,0,7,1,Gini < 0.429,O1A3M1
0.64,0.57,0.71,<0.001,0,2,3,0,7,1,Gini < 0.429,O1A3M2
0.45,0.42,0.49,<0.001,0,3,3,0,7,1,Gini < 0.429,O1A3M3
0.75,0.71,0.79,<0.001,0,4,3,0,7,1,Gini < 0.429,O1A3M4
0.49,0.48,0.51,<0.001,0,0,1,1,7,1,Gini 0.430-0.452,O1A1M0
0.42,0.41,0.44,<0.001,0,1,1,1,7,1,Gini 0.430-0.452,O1A1M1
0.57,0.51,0.63,<0.001,0,2,1,1,7,1,Gini 0.430-0.452,O1A1M2
0.45,0.42,0.48,<0.001,0,3,1,1,7,1,Gini 0.430-0.452,O1A1M3
0.67,0.65,0.7,<0.001,0,4,1,1,7,1,Gini 0.430-0.452,O1A1M4
0.56,0.55,0.57,<0.001,0,0,2,1,7,1,Gini 0.430-0.452,O1A2M0
0.49,0.47,0.51,<0.001,0,1,2,1,7,1,Gini 0.430-0.452,O1A2M1
0.7,0.63,0.77,<0.001,0,2,2,1,7,1,Gini 0.430-0.452,O1A2M2
0.44,0.41,0.48,<0.001,0,3,2,1,7,1,Gini 0.430-0.452,O1A2M3
0.76,0.73,0.79,<0.001,0,4,2,1,7,1,Gini 0.430-0.452,O1A2M4
0.56,0.54,0.57,<0.001,0,0,3,1,7,1,Gini 0.430-0.452,O1A3M0
0.5,0.49,0.52,<0.001,0,1,3,1,7,1,Gini 0.430-0.452,O1A3M1
0.65,0.59,0.72,<0.001,0,2,3,1,7,1,Gini 0.430-0.452,O1A3M2
0.44,0.4,0.47,<0.001,0,3,3,1,7,1,Gini 0.430-0.452,O1A3M3
0.72,0.69,0.76,<0.001,0,4,3,1,7,1,Gini 0.430-0.452,O1A3M4
0.5,0.49,0.51,<0.001,0,0,1,2,7,1,Gini 0.453-0.481,O1A1M0
0.44,0.43,0.45,<0.001,0,1,1,2,7,1,Gini 0.453-0.481,O1A1M1
0.54,0.47,0.61,<0.001,0,2,1,2,7,1,Gini 0.453-0.481,O1A1M2
0.52,0.48,0.56,<0.001,0,3,1,2,7,1,Gini 0.453-0.481,O1A1M3
0.68,0.66,0.71,<0.001,0,4,1,2,7,1,Gini 0.453-0.481,O1A1M4
0.58,0.56,0.59,<0.001,0,0,2,2,7,1,Gini 0.453-0.481,O1A2M0
0.51,0.5,0.53,<0.001,0,1,2,2,7,1,Gini 0.453-0.481,O1A2M1
0.66,0.58,0.76,<0.001,0,2,2,2,7,1,Gini 0.453-0.481,O1A2M2
0.52,0.48,0.56,<0.001,0,3,2,2,7,1,Gini 0.453-0.481,O1A2M3
0.77,0.74,0.8,<0.001,0,4,2,2,7,1,Gini 0.453-0.481,O1A2M4
0.59,0.57,0.6,<0.001,0,0,3,2,7,1,Gini 0.453-0.481,O1A3M0
0.52,0.5,0.53,<0.001,0,1,3,2,7,1,Gini 0.453-0.481,O1A3M1
0.66,0.58,0.76,<0.001,0,2,3,2,7,1,Gini 0.453-0.481,O1A3M2
0.5,0.46,0.54,<0.001,0,3,3,2,7,1,Gini 0.453-0.481,O1A3M3
0.83,0.79,0.86,<0.001,0,4,3,2,7,1,Gini 0.453-0.481,O1A3M4
0.39,0.38,0.4,<0.001,0,0,1,3,7,1,> 0.481,O1A1M0
0.37,0.36,0.39,<0.001,0,1,1,3,7,1,> 0.481,O1A1M1
0.55,0.46,0.67,<0.001,0,2,1,3,7,1,> 0.481,O1A1M2
0.39,0.35,0.42,<0.001,0,3,1,3,7,1,> 0.481,O1A1M3
0.42,0.41,0.44,<0.001,0,4,1,3,7,1,> 0.481,O1A1M4
0.45,0.44,0.47,<0.001,0,0,2,3,7,1,> 0.481,O1A2M0
0.44,0.43,0.46,<0.001,0,1,2,3,7,1,> 0.481,O1A2M1
0.69,0.57,0.84,<0.001,2.00E-04,2,2,3,7,1,> 0.481,O1A2M2
0.38,0.34,0.41,<0.001,0,3,2,3,7,1,> 0.481,O1A2M3
0.48,0.46,0.5,<0.001,0,4,2,3,7,1,> 0.481,O1A2M4
0.46,0.45,0.48,<0.001,0,0,3,3,7,1,> 0.481,O1A3M0
0.43,0.41,0.44,<0.001,0,1,3,3,7,1,> 0.481,O1A3M1
0.7,0.58,0.86,<0.001,5.00E-04,2,3,3,7,1,> 0.481,O1A3M2
0.47,0.43,0.52,<0.001,0,3,3,3,7,1,> 0.481,O1A3M3
0.54,0.52,0.57,<0.001,0,4,3,3,7,1,> 0.481,O1A3M4
0.48,0.47,0.49,<0.001,0,0,1,0,8,1,Diabetes,O1A1M0
0.43,0.42,0.44,<0.001,0,1,1,0,8,1,Diabetes,O1A1M1
0.62,0.58,0.67,<0.001,0,2,1,0,8,1,Diabetes,O1A1M2
0.46,0.44,0.48,<0.001,0,3,1,0,8,1,Diabetes,O1A1M3
0.57,0.55,0.58,<0.001,0,4,1,0,8,1,Diabetes,O1A1M4
0.5,0.49,0.51,<0.001,0,0,2,0,8,1,Diabetes,O1A2M0
0.44,0.43,0.45,<0.001,0,1,2,0,8,1,Diabetes,O1A2M1
0.7,0.66,0.76,<0.001,0,2,2,0,8,1,Diabetes,O1A2M2
0.44,0.42,0.46,<0.001,0,3,2,0,8,1,Diabetes,O1A2M3
0.6,0.58,0.61,<0.001,0,4,2,0,8,1,Diabetes,O1A2M4
0.57,0.56,0.58,<0.001,0,0,3,0,8,1,Diabetes,O1A3M0
0.5,0.49,0.51,<0.001,0,1,3,0,8,1,Diabetes,O1A3M1
0.66,0.61,0.71,<0.001,0,2,3,0,8,1,Diabetes,O1A3M2
0.46,0.44,0.49,<0.001,0,3,3,0,8,1,Diabetes,O1A3M3
0.73,0.71,0.75,<0.001,0,4,3,0,8,1,Diabetes,O1A3M4
0.34,0.34,0.35,<0.001,0,0,1,1,8,1,Hypertension,O1A1M0
0.31,0.3,0.32,<0.001,0,1,1,1,8,1,Hypertension,O1A1M1
0.46,0.38,0.56,<0.001,0,2,1,1,8,1,Hypertension,O1A1M2
0.41,0.38,0.44,<0.001,0,3,1,1,8,1,Hypertension,O1A1M3
0.47,0.45,0.5,<0.001,0,4,1,1,8,1,Hypertension,O1A1M4
0.44,0.43,0.45,<0.001,0,0,2,1,8,1,Hypertension,O1A2M0
0.41,0.4,0.43,<0.001,0,1,2,1,8,1,Hypertension,O1A2M1
